56438.684901	&	-1.69	&	1.29	&	1.1905	&	0.0098	&	0.3444	&	0.0008	&	0.1274	&	0.0008	\\
56440.698234	&	-4.69	&	1.39	&	1.0702	&	0.0127	&	0.3420	&	0.0009	&	0.1212	&	0.0010	\\
56442.687720	&	-7.42	&	1.12	&	1.0101	&	0.0093	&	0.3381	&	0.0008	&	0.1219	&	0.0008	\\
56443.663855	&	-3.86	&	1.88	&	0.9711	&	0.0211	&	0.3369	&	0.0013	&	0.1234	&	0.0015	\\
56486.620666	&	-1.75	&	1.22	&	1.1106	&	0.0133	&	0.3395	&	0.0010	&	0.1219	&	0.0010	\\
56487.580888	&	-3.33	&	1.45	&	1.1052	&	0.0142	&	0.3388	&	0.0010	&	0.1198	&	0.0010	\\
56506.483363	&	4.62	&	1.22	&	1.1593	&	0.0115	&	0.3400	&	0.0009	&	0.1250	&	0.0009	\\
56507.593975	&	8.59	&	1.79	&	1.3207	&	0.0182	&	0.3484	&	0.0009	&	0.1226	&	0.0011	\\
56508.608809	&	8.97	&	1.45	&	1.2414	&	0.0127	&	0.3397	&	0.0008	&	0.1237	&	0.0009	\\
56509.619800	&	4.26	&	1.11	&	1.3287	&	0.0138	&	0.3498	&	0.0009	&	0.1274	&	0.0010	\\
56533.476873	&	-3.72	&	1.27	&	0.9790	&	0.0099	&	0.3389	&	0.0008	&	0.1201	&	0.0008	\\
56537.502695	&	-6.29	&	1.24	&	1.0663	&	0.0093	&	0.3391	&	0.0007	&	0.1179	&	0.0007	\\
56564.543673	&	-3.11	&	1.51	&	1.2143	&	0.0157	&	0.3414	&	0.0010	&	0.1237	&	0.0011	\\
56583.391762	&	2.71	&	1.13	&	1.0735	&	0.0104	&	0.3399	&	0.0008	&	0.1220	&	0.0008	\\
56586.321128	&	5.07	&	1.25	&	1.2484	&	0.0128	&	0.3459	&	0.0007	&	0.1230	&	0.0009	\\
56854.577773	&	4.55	&	1.08	&	1.2765	&	0.0102	&	0.3419	&	0.0007	&	0.1283	&	0.0008	\\
56855.567308	&	4.57	&	1.07	&	1.2634	&	0.0104	&	0.3467	&	0.0008	&	0.1292	&	0.0008	\\
56857.677235	&	0.55	&	1.14	&	1.2984	&	0.0116	&	0.3482	&	0.0007	&	0.1262	&	0.0008	\\
56858.630655	&	1.62	&	1.26	&	1.2757	&	0.0130	&	0.3448	&	0.0008	&	0.1266	&	0.0009	\\
56859.643762	&	3.42	&	1.16	&	1.2015	&	0.0147	&	0.3453	&	0.0008	&	0.1239	&	0.0009	\\
56877.602491	&	1.97	&	1.79	&	1.2235	&	0.0243	&	0.3424	&	0.0012	&	0.1282	&	0.0015	\\
56878.585884	&	0.05	&	1.07	&	1.1074	&	0.0097	&	0.3417	&	0.0008	&	0.1246	&	0.0008	\\
56879.494416	&	-2.73	&	1.31	&	1.1120	&	0.0119	&	0.3426	&	0.0010	&	0.1236	&	0.0010	\\
56880.485352	&	-0.03	&	1.18	&	1.0715	&	0.0109	&	0.3467	&	0.0009	&	0.1260	&	0.0009	\\
56881.470848	&	-10.21	&	1.73	&	1.2427	&	0.0200	&	0.3501	&	0.0013	&	0.1282	&	0.0013	\\
56892.466346	&	4.78	&	0.97	&	1.2800	&	0.0093	&	0.3464	&	0.0007	&	0.1257	&	0.0007	\\
56893.481535	&	0.00	&	1.43	&	1.3666	&	0.0176	&	0.3471	&	0.0011	&	0.1264	&	0.0012	\\
56894.484073	&	2.82	&	1.58	&	1.3408	&	0.0151	&	0.3501	&	0.0010	&	0.1268	&	0.0011	\\
56897.506643	&	-0.69	&	1.24	&	1.3410	&	0.0157	&	0.3478	&	0.0012	&	0.1274	&	0.0011	\\
56898.464617	&	-7.26	&	1.28	&	1.2680	&	0.0138	&	0.3480	&	0.0010	&	0.1266	&	0.0010	\\
56899.477380	&	-2.14	&	1.44	&	1.3657	&	0.0173	&	0.3507	&	0.0012	&	0.1250	&	0.0012	\\
56905.470066	&	-0.30	&	1.02	&	1.2288	&	0.0109	&	0.3431	&	0.0008	&	0.1259	&	0.0008	\\
56907.464509	&	-1.34	&	1.15	&	1.1404	&	0.0104	&	0.3410	&	0.0008	&	0.1233	&	0.0008	\\
56918.472879	&	-6.15	&	1.97	&	1.1111	&	0.0237	&	0.3420	&	0.0014	&	0.1319	&	0.0016	\\
56920.469597	&	1.95	&	1.23	&	1.1492	&	0.0128	&	0.3441	&	0.0009	&	0.1233	&	0.0010	\\
56928.458456	&	14.93	&	3.72	&	1.0998	&	0.0441	&	0.3423	&	0.0012	&	0.1202	&	0.0021	\\
56930.505522	&	2.59	&	1.34	&	1.1514	&	0.0126	&	0.3390	&	0.0008	&	0.1236	&	0.0009	\\
56932.461632	&	-1.13	&	1.38	&	1.1538	&	0.0189	&	0.3406	&	0.0012	&	0.1239	&	0.0013	\\
56933.355305	&	-2.94	&	0.93	&	1.2501	&	0.0117	&	0.3435	&	0.0008	&	0.1256	&	0.0008	\\
56935.349440	&	-2.61	&	1.01	&	1.3033	&	0.0097	&	0.3440	&	0.0007	&	0.1270	&	0.0007	\\
56937.459316	&	1.23	&	1.19	&	1.2586	&	0.0113	&	0.3444	&	0.0008	&	0.1282	&	0.0008	\\
56938.464540	&	0.35	&	1.18	&	1.2257	&	0.0108	&	0.3477	&	0.0007	&	0.1293	&	0.0008	\\
56940.460277	&	0.11	&	1.40	&	1.3123	&	0.0120	&	0.3471	&	0.0009	&	0.1292	&	0.0009	\\
56941.347152	&	3.93	&	1.08	&	1.1803	&	0.0087	&	0.3448	&	0.0007	&	0.1277	&	0.0007	\\
56942.454785	&	-1.17	&	1.06	&	1.2207	&	0.0110	&	0.3438	&	0.0007	&	0.1246	&	0.0008	\\
56943.451164	&	-0.18	&	1.06	&	1.2204	&	0.0109	&	0.3462	&	0.0007	&	0.1243	&	0.0008	\\
57258.456713	&	2.82	&	1.28	&	1.2957	&	0.0127	&	0.3509	&	0.0008	&	0.1283	&	0.0009	\\
57259.479424	&	1.10	&	1.30	&	1.5259	&	0.0171	&	0.3656	&	0.0010	&	0.1341	&	0.0011	\\
57291.395613	&	0.90	&	1.24	&	1.3580	&	0.0123	&	0.3555	&	0.0009	&	0.1310	&	0.0009	\\
57297.467722	&	2.55	&	1.84	&	1.2680	&	0.0220	&	0.3441	&	0.0010	&	0.1198	&	0.0013	\\
57303.423054	&	-6.93	&	1.28	&	1.1434	&	0.0112	&	0.3463	&	0.0008	&	0.1276	&	0.0009	\\
57307.409630	&	-5.44	&	1.02	&	1.0423	&	0.0098	&	0.3371	&	0.0009	&	0.1230	&	0.0008	\\
57308.417641	&	-1.76	&	1.06	&	1.1055	&	0.0093	&	0.3370	&	0.0008	&	0.1225	&	0.0008	\\
57352.336645	&		&		&	0.5182	&	0.2654	&	0.3394	&	0.0109	&	0.1491	&	0.0310	\\
57353.310991	&	-6.79	&	3.41	&	1.3845	&	0.0587	&	0.3437	&	0.0022	&	0.1221	&	0.0032	\\
